election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,421,542,ก้าวไกล,182
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,335,425,ก้าวไกล,121
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,337,444,ก้าวไกล,118
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,287,373,ก้าวไกล,87
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,543,687,ก้าวไกล,230
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,358,479,ก้าวไกล,165
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,628,763,ก้าวไกล,254
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,367,494,ก้าวไกล,146
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,419,546,ก้าวไกล,132
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,278,339,ก้าวไกล,95
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,469,586,ก้าวไกล,198
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่ข่า,295,370,ก้าวไกล,11
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,523,683,ก้าวไกล,212
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,472,682,ก้าวไกล,170
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,403,482,ก้าวไกล,158
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,441,580,ก้าวไกล,161
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,215,251,ก้าวไกล,66
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,265,321,ก้าวไกล,108
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,444,710,ก้าวไกล,174
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,213,287,ก้าวไกล,65
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,584,728,ก้าวไกล,209
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,242,329,ก้าวไกล,94
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,350,512,ก้าวไกล,129
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,563,722,ก้าวไกล,193
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,636,1089,ก้าวไกล,295
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,500,610,ก้าวไกล,219
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,167,207,ก้าวไกล,62
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่คะ,522,692,ก้าวไกล,175
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,297,386,ก้าวไกล,128
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,209,630,ก้าวไกล,98
