รหัสจังหวัด,จังหวัด,เขต,อำเภอ,ตำบล,หมู่,หมายเลขหน่วยเลือกตั้ง,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,ชื่อพรรค,คะแนน
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,7,นายไกร ดาบธรรม,พลังประชารัฐ,70
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,1,นายอดุลย์ บุญใส,ภูมิใจไทย,4
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,2,นายสมดุลย์ อุตเจริญ,ประชาชน,56
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,91
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,34
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,7,นายไกร ดาบธรรม,พลังประชารัฐ,58
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,3
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,1,นายอดุลย์ บุญใส,ภูมิใจไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,2,นายสมดุลย์ อุตเจริญ,ประชาชน,37
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,82
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,21
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,7,นายไกร ดาบธรรม,พลังประชารัฐ,135
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,8,19,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,1,นายอดุลย์ บุญใส,ภูมิใจไทย,3
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,2,นายสมดุลย์ อุตเจริญ,ประชาชน,21
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,104
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,16
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,7,นายไกร ดาบธรรม,พลังประชารัฐ,22
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,9,20,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,1,นายอดุลย์ บุญใส,ภูมิใจไทย,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,2,นายสมดุลย์ อุตเจริญ,ประชาชน,29
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,4,นายสันติ ตันสุหัช,ก้าวอิสระ,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,84
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,10
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,7,นายไกร ดาบธรรม,พลังประชารัฐ,43
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,10,21,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,1,นายอดุลย์ บุญใส,ภูมิใจไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,2,นายสมดุลย์ อุตเจริญ,ประชาชน,78
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,102
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,70
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,7,นายไกร ดาบธรรม,พลังประชารัฐ,112
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,1,1,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,8
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,1,นายอดุลย์ บุญใส,ภูมิใจไทย,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,2,นายสมดุลย์ อุตเจริญ,ประชาชน,28
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,4,นายสันติ ตันสุหัช,ก้าวอิสระ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,91
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,21
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,7,นายไกร ดาบธรรม,พลังประชารัฐ,46
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,2,2,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,1,นายอดุลย์ บุญใส,ภูมิใจไทย,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,2,นายสมดุลย์ อุตเจริญ,ประชาชน,33
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,4,นายสันติ ตันสุหัช,ก้าวอิสระ,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,57
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,57
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,7,นายไกร ดาบธรรม,พลังประชารัฐ,116
